,time,open,high,low,close,volume
0,2024-05-02,21.97,22.47,21.59,22.32,492152
1,2024-05-03,22.4,22.82,22.17,22.47,670993
2,2024-05-06,22.47,23.01,22.47,22.94,496808
3,2024-05-07,23.09,23.86,23.09,23.28,751315
4,2024-05-08,23.13,24.36,22.78,24.25,913926
5,2024-05-09,24.44,25.33,24.29,24.56,1133726
6,2024-05-10,24.67,24.67,24.17,24.29,570993
7,2024-05-13,24.33,24.67,23.52,23.98,656535
8,2024-05-14,23.98,24.48,23.82,24.4,411466
9,2024-05-15,24.52,24.79,24.4,24.75,657630
10,2024-05-16,25.17,25.29,24.71,24.83,728650
11,2024-05-17,24.94,25.02,24.67,24.79,580552
12,2024-05-20,24.98,25.64,24.79,24.86,648241
13,2024-05-21,24.79,25.64,24.67,25.4,1002646
14,2024-05-22,25.52,25.79,24.75,25.06,797940
15,2024-05-23,24.83,25.48,24.71,25.44,729175
16,2024-05-24,25.64,27.22,25.6,26.75,3272550
17,2024-05-27,26.98,27.18,26.37,26.91,628604
18,2024-05-28,26.98,27.76,26.72,27.45,1012224
19,2024-05-29,27.37,27.45,26.21,26.21,1454662
20,2024-05-30,26.14,26.41,25.52,26.14,1190392
21,2024-05-31,26.29,26.72,25.83,26.33,560602
22,2024-06-03,26.64,27.1,26.33,26.52,777653
23,2024-06-04,27.06,27.56,26.68,26.98,947011
24,2024-06-05,26.98,26.98,26.6,26.64,696251
25,2024-06-06,26.98,27.06,26.33,26.41,527795
26,2024-06-07,26.41,27.29,26.37,27.29,1076264
27,2024-06-10,27.33,27.56,26.79,27.25,423103
28,2024-06-11,27.56,28.33,27.41,27.83,1555859
29,2024-06-12,28.3,28.3,27.91,27.99,895495
30,2024-06-13,28.33,28.33,27.79,27.83,746002
31,2024-06-14,27.95,28.03,26.64,26.64,1835777
32,2024-06-17,26.87,27.18,26.79,26.79,793490
33,2024-06-18,27.14,28.33,26.87,27.95,1056407
34,2024-06-19,28.14,28.33,27.91,27.91,687767
35,2024-06-20,27.99,28.06,27.45,27.72,730193
36,2024-06-21,27.68,27.95,27.37,27.45,748561
37,2024-06-24,27.45,27.45,26.41,26.56,1161573
38,2024-06-25,26.79,26.98,26.52,26.98,411689
39,2024-06-26,27.33,27.33,26.6,27.18,335943
40,2024-06-27,27.06,27.6,27.02,27.29,765147
41,2024-06-28,27.49,27.49,26.6,26.6,1168849
42,2024-07-01,28.0,28.0,27.05,27.65,1394290
43,2024-07-02,27.6,27.65,27.35,27.5,654319
44,2024-07-03,27.5,29.4,27.5,29.4,1554018
45,2024-07-04,30.5,31.45,30.0,31.45,2041269
46,2024-07-05,33.5,33.65,32.7,33.65,1303042
47,2024-07-08,36.0,36.0,34.4,36.0,2371422
48,2024-07-09,37.9,38.5,37.6,38.5,841168
49,2024-07-10,39.55,41.15,36.1,38.8,3554224
50,2024-07-11,38.8,40.7,38.0,40.45,1831583
51,2024-07-12,40.8,40.8,39.0,39.5,1055199
52,2024-07-15,39.5,41.0,39.1,40.2,1221094
53,2024-07-16,40.9,40.9,38.95,39.1,792187
