,time,open,high,low,close,volume
0,2025-01-02,26.7,27.05,26.7,27.0,14961200
1,2025-01-03,26.9,27.0,26.6,26.6,13200100
2,2025-01-06,26.6,26.7,26.05,26.05,15250500
3,2025-01-07,26.15,26.4,26.05,26.05,14399600
4,2025-01-08,26.05,26.25,25.95,26.25,12957600
5,2025-01-09,26.3,26.3,25.9,26.0,9236900
6,2025-01-10,26.0,26.1,25.55,25.55,14273600
7,2025-01-13,25.55,26.05,25.45,25.9,13576000
8,2025-01-14,25.95,26.0,25.8,25.85,7660700
9,2025-01-15,26.0,26.25,25.9,26.2,11221600
10,2025-01-16,26.3,26.45,26.05,26.3,11206800
11,2025-01-17,26.3,26.5,26.1,26.5,13950100
12,2025-01-20,26.5,26.75,26.45,26.45,9654200
13,2025-01-21,26.6,26.6,26.2,26.3,10421500
14,2025-01-22,26.4,26.4,26.15,26.15,10280000
15,2025-01-23,26.2,26.75,26.15,26.65,15792000
16,2025-01-24,26.65,26.65,26.45,26.55,10401300
17,2025-02-03,26.5,26.6,26.25,26.4,16971700
18,2025-02-04,26.5,27.0,26.45,26.85,17358200
19,2025-02-05,26.85,27.0,26.75,26.8,14466500
20,2025-02-06,26.8,26.95,26.75,26.8,13535000
21,2025-02-07,26.8,26.8,26.6,26.65,12547400
22,2025-02-10,26.5,26.5,25.4,25.4,61096500
23,2025-02-11,25.45,26.1,25.45,26.1,28896000
24,2025-02-12,26.2,26.2,25.85,25.85,13651300
25,2025-02-13,25.95,26.0,25.85,25.9,9499100
26,2025-02-14,26.1,26.3,26.0,26.1,18580600
27,2025-02-17,26.15,26.25,26.05,26.15,14369400
28,2025-02-18,26.35,26.6,26.3,26.55,24939500
29,2025-02-19,26.6,26.6,26.4,26.5,13653000
30,2025-02-20,26.55,26.6,26.5,26.55,11910400
31,2025-02-21,26.55,26.6,26.4,26.45,11063800
32,2025-02-24,28.3,28.3,27.55,27.7,73891100
33,2025-02-25,27.6,27.7,27.2,27.5,31575300
34,2025-02-26,27.6,27.95,27.55,27.75,31819600
35,2025-02-27,27.8,28.45,27.6,28.45,51120800
36,2025-02-28,28.4,28.4,27.95,28.0,24214400
37,2025-03-03,28.05,28.25,28.0,28.05,20663700
38,2025-03-04,28.05,28.05,27.65,27.85,27424100
39,2025-03-05,27.85,27.9,27.55,27.55,30385500
40,2025-03-06,27.6,27.95,27.6,27.95,36975600
41,2025-03-07,28.0,28.1,27.75,28.05,33131200
42,2025-03-10,28.1,28.2,27.95,27.95,23580500
43,2025-03-11,27.6,28.15,27.6,28.15,26088500
44,2025-03-12,28.2,28.2,27.8,27.8,20641600
45,2025-03-13,27.85,28.05,27.7,27.7,24809400
46,2025-03-14,27.7,27.85,27.55,27.55,18279900
47,2025-03-17,27.9,28.15,27.75,27.85,19719700
48,2025-03-18,27.9,28.05,27.6,27.6,18741700
49,2025-03-19,27.6,27.6,27.1,27.25,37925600
50,2025-03-20,27.3,27.45,27.05,27.15,25022500
51,2025-03-21,27.1,27.25,27.05,27.15,18912200
52,2025-03-24,27.15,27.25,26.9,27.15,16229800
53,2025-03-25,27.25,27.4,27.1,27.2,20101000
54,2025-03-26,27.2,27.95,27.15,27.55,43980000
55,2025-03-27,27.7,27.7,27.45,27.5,12009700
56,2025-03-28,27.45,27.5,27.1,27.15,17070200
57,2025-03-31,27.05,27.1,26.75,26.75,26536400
58,2025-04-01,26.8,27.05,26.75,27.0,14018400
59,2025-04-02,27.15,27.4,27.1,27.25,16785400
60,2025-04-03,25.8,26.45,25.35,25.35,80695800
61,2025-04-04,23.6,24.85,23.6,24.6,73181200
62,2025-04-08,23.5,24.0,22.9,22.9,35443300
63,2025-04-09,21.3,22.3,21.3,21.3,77156800
64,2025-04-10,22.75,22.75,22.75,22.75,3062400
65,2025-04-11,24.2,24.3,23.5,24.3,76273700
66,2025-04-14,24.8,25.75,24.75,25.35,51203900
67,2025-04-15,25.15,26.15,25.05,25.85,50570600
68,2025-04-16,25.9,26.0,25.05,25.5,25705300
69,2025-04-17,25.2,25.6,24.8,25.5,24441000
70,2025-04-18,25.65,25.75,25.45,25.45,20765500
71,2025-04-21,25.45,25.45,24.9,24.95,17306200
72,2025-04-22,24.8,25.1,23.4,25.05,47447000
73,2025-04-23,25.5,25.7,25.35,25.55,22232700
74,2025-04-24,25.7,25.7,25.2,25.6,17212000
75,2025-04-25,25.45,25.7,25.25,25.7,24849000
76,2025-04-28,25.7,25.7,25.35,25.65,9757000
77,2025-04-29,25.65,25.7,25.4,25.5,14467400
78,2025-05-05,25.65,25.75,25.35,25.7,12548300
79,2025-05-06,25.75,26.05,25.45,25.45,20937300
80,2025-05-07,25.35,25.5,25.35,25.4,11501800
81,2025-05-08,25.4,25.85,25.3,25.7,19892200
82,2025-05-09,25.7,25.75,25.5,25.65,11008000
