,time,open,high,low,close,volume
0,2025-01-02,35.6,35.8,34.75,35.15,2535400
1,2025-01-03,34.95,35.1,34.7,34.8,1607100
2,2025-01-06,34.65,35.2,34.65,34.8,1638900
3,2025-01-07,34.6,34.9,33.85,33.85,2148000
4,2025-01-08,34.0,34.0,33.5,33.8,1752700
5,2025-01-09,33.95,34.25,33.85,33.95,722300
6,2025-01-10,33.85,34.25,33.85,34.0,918100
7,2025-01-13,33.95,34.6,33.55,34.45,1272600
8,2025-01-14,34.3,34.5,34.0,34.15,831800
9,2025-01-15,34.35,34.55,34.15,34.2,1116600
10,2025-01-16,34.05,34.45,33.75,34.35,1846700
11,2025-01-17,34.1,34.45,34.0,34.4,1152500
12,2025-01-20,34.4,34.55,34.3,34.55,963100
13,2025-01-21,34.55,34.55,34.2,34.4,619200
14,2025-01-22,34.4,34.4,34.05,34.3,911000
15,2025-01-23,34.45,34.55,34.15,34.55,1472700
16,2025-01-24,34.7,34.75,34.45,34.75,1954100
17,2025-02-03,34.5,34.55,34.25,34.55,1247100
18,2025-02-04,34.55,34.75,34.35,34.75,1985200
19,2025-02-05,34.8,35.25,34.8,34.85,2720000
20,2025-02-06,34.85,34.9,34.2,34.6,2190200
21,2025-02-07,34.6,34.6,34.15,34.55,1668700
22,2025-02-10,34.3,34.55,34.0,34.0,1730300
23,2025-02-11,34.0,34.15,33.75,34.15,1802000
24,2025-02-12,34.3,34.3,33.75,34.0,1506300
25,2025-02-13,34.0,34.0,33.3,33.8,2486000
26,2025-02-14,33.8,34.0,33.65,33.85,1067300
27,2025-02-17,33.85,34.0,33.65,33.85,1002500
28,2025-02-18,33.85,34.1,33.75,33.85,844500
29,2025-02-19,33.9,34.2,33.7,34.2,1990700
30,2025-02-20,34.3,34.45,34.0,34.2,2722800
31,2025-02-21,34.2,34.2,33.6,33.65,3108100
32,2025-02-24,33.65,33.7,33.4,33.65,1297700
33,2025-02-25,33.8,33.9,33.35,33.35,2461400
34,2025-02-26,33.35,33.5,33.0,33.2,2661000
35,2025-02-27,33.25,33.5,33.1,33.5,1787000
36,2025-02-28,33.6,33.85,33.4,33.5,1942400
37,2025-03-03,33.55,33.85,33.5,33.6,1577200
38,2025-03-04,33.6,34.0,33.5,33.75,2161000
39,2025-03-05,33.8,34.0,33.5,33.5,2222300
40,2025-03-06,33.6,33.65,33.25,33.55,1647500
41,2025-03-07,33.6,34.2,33.55,33.55,3904400
42,2025-03-10,33.85,33.85,33.1,33.15,3241800
43,2025-03-11,33.05,33.25,32.4,32.85,4327300
44,2025-03-12,33.0,33.0,31.85,32.4,5390500
45,2025-03-13,32.0,32.35,32.0,32.35,2273500
46,2025-03-14,32.1,32.7,31.95,32.15,3042000
47,2025-03-17,32.4,33.2,32.0,33.2,4357500
48,2025-03-18,33.35,33.35,32.6,32.6,3018400
49,2025-03-19,32.55,32.6,32.0,32.6,3087500
50,2025-03-20,32.75,32.75,31.9,32.4,3146100
51,2025-03-21,32.1,32.45,32.1,32.4,2157000
52,2025-03-24,32.3,32.6,31.95,32.6,1755700
53,2025-03-25,32.7,32.8,32.3,32.75,2967900
54,2025-03-26,32.75,32.8,32.0,32.0,3544500
55,2025-03-27,32.2,32.6,32.2,32.45,1817700
56,2025-03-28,32.55,32.55,32.3,32.55,2142700
57,2025-03-31,32.5,33.0,32.3,32.6,4335500
58,2025-04-01,32.7,32.75,31.85,32.6,4842400
59,2025-04-02,32.55,32.55,31.95,31.95,3626100
60,2025-04-03,30.1,31.1,29.75,29.75,3714900
61,2025-04-04,27.7,28.5,27.7,28.0,9814300
62,2025-04-08,26.1,26.3,26.05,26.05,1710300
63,2025-04-09,24.25,24.25,24.25,24.25,1112800
64,2025-04-10,25.9,25.9,25.9,25.9,4334600
65,2025-04-11,25.85,27.7,24.3,27.5,8115000
66,2025-04-14,27.5,28.05,26.4,27.8,5241700
67,2025-04-15,27.2,27.45,26.55,27.05,3748500
68,2025-04-16,27.0,27.0,26.2,26.8,3384900
69,2025-04-17,26.15,26.9,26.0,26.9,2861900
70,2025-04-18,27.0,27.35,26.75,26.85,2416900
71,2025-04-21,26.8,27.05,26.45,27.0,1980100
72,2025-04-22,26.8,27.0,25.15,26.2,5091000
73,2025-04-23,26.6,27.1,26.1,26.85,3137700
74,2025-04-24,27.05,27.45,26.85,27.1,2754100
75,2025-04-25,26.9,27.2,26.5,27.2,3619900
76,2025-04-28,27.2,27.2,26.55,26.7,1395800
77,2025-04-29,26.7,26.85,26.35,26.35,2319800
78,2025-05-05,26.65,27.4,26.35,27.15,2151600
79,2025-05-06,27.15,27.5,27.1,27.1,2261000
80,2025-05-07,27.1,28.9,27.1,28.6,5397400
81,2025-05-08,28.8,28.8,28.1,28.8,3568900
82,2025-05-09,28.7,28.8,28.4,28.45,1860600
