,time,open,high,low,close,volume
0,2025-01-02,21.87,22.13,21.78,21.91,12444481
1,2025-01-03,21.91,21.91,21.48,21.48,11046882
2,2025-01-06,21.48,21.65,21.22,21.22,14565302
3,2025-01-07,21.7,21.7,21.2,21.65,11823684
4,2025-01-08,21.45,21.7,21.45,21.6,6544011
5,2025-01-09,21.6,21.7,21.45,21.5,4376913
6,2025-01-10,21.45,21.5,21.15,21.15,8697452
7,2025-01-13,21.15,21.5,20.95,21.5,7881659
8,2025-01-14,21.4,21.5,21.15,21.3,5746837
9,2025-01-15,21.45,21.5,21.3,21.35,4732416
10,2025-01-16,21.5,21.6,21.35,21.4,7336121
11,2025-01-17,21.5,21.5,21.35,21.5,4488697
12,2025-01-20,21.5,21.95,21.5,21.85,8238800
13,2025-01-21,21.95,22.05,21.75,21.85,6770200
14,2025-01-22,21.95,21.95,21.75,21.8,5961800
15,2025-01-23,21.9,22.25,21.8,22.2,13735100
16,2025-01-24,22.05,22.45,22.05,22.4,9798300
17,2025-02-03,22.05,22.25,21.95,22.05,9087900
18,2025-02-04,22.2,22.6,22.1,22.45,11057300
19,2025-02-05,22.5,22.55,22.3,22.5,7229500
20,2025-02-06,22.55,22.95,22.55,22.6,10756200
21,2025-02-07,22.7,23.0,22.4,22.75,14192900
22,2025-02-10,22.7,23.25,22.45,22.9,19336200
23,2025-02-11,23.0,23.0,22.85,23.0,7739300
24,2025-02-12,23.0,23.05,22.7,22.7,7185700
25,2025-02-13,22.85,22.9,22.6,22.9,7458100
26,2025-02-14,23.0,23.0,22.8,22.85,8160100
27,2025-02-17,22.9,22.9,22.6,22.65,8679000
28,2025-02-18,22.65,22.95,22.6,22.7,10082500
29,2025-02-19,22.8,22.95,22.7,22.85,9166500
30,2025-02-20,23.0,23.0,22.85,22.85,10831800
31,2025-02-21,22.9,23.15,22.8,22.9,20513900
32,2025-02-24,22.8,23.05,22.8,23.0,13460200
33,2025-02-25,23.05,23.55,23.05,23.4,37696200
34,2025-02-26,23.5,23.55,23.2,23.2,8376800
35,2025-02-27,23.2,23.25,22.95,23.2,12766600
36,2025-02-28,23.1,23.15,22.95,23.0,11052800
37,2025-03-03,23.0,23.1,22.95,23.1,9195600
38,2025-03-04,23.05,23.6,22.85,23.4,21367000
39,2025-03-05,23.4,24.1,23.3,23.55,30355700
40,2025-03-06,23.7,24.1,23.5,24.1,25919100
41,2025-03-07,24.25,24.9,24.1,24.5,47416100
42,2025-03-10,24.75,24.9,24.45,24.5,19419600
43,2025-03-11,24.2,24.8,24.15,24.8,26519300
44,2025-03-12,24.9,25.0,24.6,24.6,30957600
45,2025-03-13,24.65,24.7,24.2,24.3,23064100
46,2025-03-14,24.25,24.45,24.15,24.3,19724000
47,2025-03-17,24.4,24.45,24.1,24.3,25601900
48,2025-03-18,24.4,24.4,23.9,23.9,26614000
49,2025-03-19,23.9,24.0,23.7,23.85,20386000
50,2025-03-20,24.0,24.35,23.9,24.25,21142600
51,2025-03-21,24.3,24.5,24.2,24.3,15567500
52,2025-03-24,24.3,24.4,23.95,24.4,15571400
53,2025-03-25,24.5,24.55,24.15,24.2,12739400
54,2025-03-26,24.15,24.4,24.0,24.0,18277300
55,2025-03-27,24.0,24.1,23.9,23.9,12425800
56,2025-03-28,24.0,24.1,23.8,23.9,13037100
57,2025-03-31,23.85,24.1,23.8,24.1,18699200
58,2025-04-01,24.15,24.6,24.0,24.6,13919500
59,2025-04-02,24.6,24.65,24.35,24.35,9787900
60,2025-04-03,23.6,23.7,22.65,22.65,86268100
61,2025-04-04,21.1,22.45,21.1,22.45,73116900
62,2025-04-08,21.15,21.9,20.9,20.9,64519700
63,2025-04-09,19.45,21.4,19.45,20.65,61224500
64,2025-04-10,22.05,22.05,22.05,22.05,1687200
65,2025-04-11,22.5,23.5,22.4,23.45,78951400
66,2025-04-14,23.5,23.55,23.15,23.45,31682100
67,2025-04-15,23.0,23.4,22.9,23.0,29512300
68,2025-04-16,23.0,23.25,22.75,22.9,21897000
69,2025-04-17,22.7,23.0,22.6,23.0,21573500
70,2025-04-18,23.1,23.45,23.05,23.25,31562900
71,2025-04-21,23.5,23.5,22.8,22.95,37143800
72,2025-04-22,22.85,23.15,21.55,23.1,45375000
73,2025-04-23,23.45,23.7,23.1,23.4,33860600
74,2025-04-24,23.4,23.4,23.05,23.25,18099100
75,2025-04-25,23.5,23.75,23.3,23.55,40711200
76,2025-04-28,23.8,23.85,23.55,23.7,23070500
77,2025-04-29,23.7,23.75,23.55,23.55,13178800
78,2025-05-05,23.7,23.75,23.45,23.55,18857200
79,2025-05-06,23.6,23.7,23.5,23.55,22793600
80,2025-05-07,23.55,23.6,23.2,23.25,21893400
81,2025-05-08,23.3,23.6,23.2,23.55,21016400
82,2025-05-09,23.7,23.7,23.4,23.5,15034800
