,time,open,high,low,close,volume
0,2025-01-02,18.45,18.6,18.4,18.4,515000
1,2025-01-03,18.3,18.65,18.3,18.3,1049300
2,2025-01-06,18.3,18.4,17.3,17.5,2777100
3,2025-01-07,17.55,17.6,16.65,16.7,3507300
4,2025-01-08,16.75,17.1,16.75,17.0,772400
5,2025-01-09,17.1,17.15,16.75,16.75,633100
6,2025-01-10,16.8,16.85,16.3,16.3,1242000
7,2025-01-13,16.3,16.7,16.25,16.6,669700
8,2025-01-14,16.55,16.8,16.3,16.3,749000
9,2025-01-15,16.5,16.55,16.3,16.4,788300
10,2025-01-16,16.5,16.75,16.5,16.65,870900
11,2025-01-17,16.75,17.0,16.6,16.95,1152400
12,2025-01-20,16.8,16.95,16.6,16.65,658100
13,2025-01-21,16.6,16.75,16.35,16.45,1388700
14,2025-01-22,16.35,16.5,16.35,16.35,757400
15,2025-01-23,16.45,16.65,16.4,16.5,541700
16,2025-01-24,16.6,16.8,16.55,16.6,964300
17,2025-02-03,16.6,17.25,16.45,16.95,1130200
18,2025-02-04,17.1,17.1,16.85,17.1,1211300
19,2025-02-05,17.25,17.95,17.25,17.65,2100100
20,2025-02-06,17.9,17.9,17.4,17.45,1000600
21,2025-02-07,17.55,17.55,17.3,17.35,1145900
22,2025-02-10,17.25,17.3,17.05,17.05,1036900
23,2025-02-11,17.1,17.2,17.0,17.0,622200
24,2025-02-12,17.0,17.4,16.45,17.35,1000800
25,2025-02-13,17.4,17.4,17.15,17.25,443500
26,2025-02-14,17.4,17.65,17.3,17.4,920100
27,2025-02-17,17.4,17.65,17.35,17.4,803600
28,2025-02-18,17.4,17.75,17.25,17.4,2609200
29,2025-02-19,17.4,18.3,17.25,18.15,5107500
30,2025-02-20,18.15,18.25,17.95,17.95,2189500
31,2025-02-21,17.9,18.1,17.65,17.85,1839000
32,2025-02-24,17.9,17.9,17.55,17.75,1341300
33,2025-02-25,18.0,18.4,17.9,18.25,3954900
34,2025-02-26,18.4,18.4,17.8,17.8,3182400
35,2025-02-27,17.7,18.3,17.65,18.3,2454200
36,2025-02-28,18.3,18.6,18.1,18.25,2280900
37,2025-03-03,18.35,18.4,18.05,18.25,1594100
38,2025-03-04,18.2,18.6,18.1,18.45,3507000
39,2025-03-05,18.45,18.45,17.85,17.85,1975600
40,2025-03-06,17.95,18.6,17.9,18.35,2450000
41,2025-03-07,18.45,18.8,18.35,18.5,4297100
42,2025-03-10,18.55,18.6,18.2,18.35,2152500
43,2025-03-11,18.0,18.3,17.95,18.3,1639400
44,2025-03-12,18.4,18.45,18.05,18.05,1759900
45,2025-03-13,18.05,18.2,17.4,17.5,2751800
46,2025-03-14,17.5,17.9,17.35,17.6,2434200
47,2025-03-17,17.65,18.05,17.65,17.95,1952400
48,2025-03-18,18.05,18.1,17.6,17.6,1353200
49,2025-03-19,17.5,17.6,17.05,17.1,2793400
50,2025-03-20,17.1,17.25,16.65,16.75,2222500
51,2025-03-21,16.7,16.9,16.5,16.5,1403500
52,2025-03-24,16.5,16.55,15.9,16.15,2563600
53,2025-03-25,16.15,16.65,16.1,16.45,1435200
54,2025-03-26,16.45,16.75,16.45,16.45,1192000
55,2025-03-27,16.45,16.85,16.4,16.7,1167800
56,2025-03-28,16.75,16.9,16.45,16.55,1442400
57,2025-03-31,16.45,16.75,16.35,16.5,938200
58,2025-04-01,16.5,16.7,16.4,16.5,584900
59,2025-04-02,16.45,16.6,16.25,16.3,1449300
60,2025-04-03,15.3,15.8,15.2,15.2,2769900
61,2025-04-04,14.15,14.4,14.15,14.15,3405700
62,2025-04-08,13.2,13.5,13.2,13.2,1109300
63,2025-04-09,12.3,12.7,12.3,12.3,4664200
64,2025-04-10,13.15,13.15,13.15,13.15,242400
65,2025-04-11,13.7,14.05,13.1,14.05,3987000
66,2025-04-14,14.5,14.5,13.75,14.05,1947300
67,2025-04-15,13.85,14.2,13.35,13.35,2084900
68,2025-04-16,13.35,14.25,13.35,14.25,5128600
69,2025-04-17,14.35,14.5,14.1,14.3,1645300
70,2025-04-18,14.5,14.65,14.25,14.25,1918300
71,2025-04-21,14.4,14.4,13.9,14.15,1933300
72,2025-04-22,14.05,14.15,13.2,13.6,3692800
73,2025-04-23,13.95,14.5,13.75,14.2,1922100
74,2025-04-24,14.2,15.0,14.2,14.8,3554900
75,2025-04-25,14.8,14.9,14.5,14.55,1285000
76,2025-04-28,14.55,14.7,14.4,14.5,1029400
77,2025-04-29,14.65,14.65,14.35,14.45,1054500
78,2025-05-05,14.45,14.7,14.3,14.7,1205900
79,2025-05-06,14.7,15.15,14.7,14.75,2338800
80,2025-05-07,14.7,15.2,14.6,14.95,1890300
81,2025-05-08,15.0,15.65,14.8,15.4,2769700
82,2025-05-09,15.4,15.45,14.9,15.0,1753000
