,time,open,high,low,close,volume
0,2025-01-02,63.01,63.89,62.62,63.89,228717
1,2025-01-03,63.89,64.48,63.21,63.5,365254
2,2025-01-06,64.7,64.7,60.0,60.5,480315
3,2025-01-07,60.5,61.7,60.5,60.6,263936
4,2025-01-08,60.6,61.3,60.2,60.4,132824
5,2025-01-09,61.3,61.3,60.1,60.3,131046
6,2025-01-10,60.1,60.4,57.9,57.9,382817
7,2025-01-13,57.9,58.4,56.7,58.0,232198
8,2025-01-14,58.1,58.5,57.3,57.7,112042
9,2025-01-15,58.0,59.2,57.8,58.7,105600
10,2025-01-16,58.9,60.0,58.4,58.7,173744
11,2025-01-17,58.7,59.3,58.2,59.3,129800
12,2025-01-20,61.0,61.0,58.8,58.9,51100
13,2025-01-21,60.0,60.8,59.3,60.3,265600
14,2025-01-22,60.4,60.6,59.0,59.2,164200
15,2025-01-23,59.2,60.9,59.2,60.2,163300
16,2025-01-24,60.8,61.8,60.7,61.0,296500
17,2025-02-03,61.2,61.3,59.9,60.6,120200
18,2025-02-04,60.9,62.3,60.5,61.9,224500
19,2025-02-05,62.4,62.4,61.2,61.7,184100
20,2025-02-06,62.7,62.7,61.0,61.8,216500
21,2025-02-07,61.8,61.8,61.0,61.0,126900
22,2025-02-10,61.0,61.0,59.7,59.7,195600
23,2025-02-11,59.6,62.0,59.5,61.0,265600
24,2025-02-12,61.0,61.0,60.6,60.6,51300
25,2025-02-13,60.6,61.5,60.3,61.2,134500
26,2025-02-14,61.5,62.6,61.3,62.6,464300
27,2025-02-17,62.6,65.5,62.2,63.8,991800
28,2025-02-18,64.4,64.4,62.6,62.9,280900
29,2025-02-19,63.5,64.5,62.7,64.1,467000
30,2025-02-20,64.1,65.2,63.7,64.0,344300
31,2025-02-21,64.0,65.5,63.8,64.5,438200
32,2025-02-24,64.5,64.5,63.1,64.2,420200
33,2025-02-25,64.2,65.3,63.3,63.5,408100
34,2025-02-26,63.5,65.7,63.5,64.8,769500
35,2025-02-27,65.0,67.4,64.8,65.9,885300
36,2025-02-28,65.7,66.0,64.2,64.7,396300
37,2025-03-03,64.4,65.1,63.2,63.5,474100
38,2025-03-04,63.5,64.7,63.4,64.3,284400
39,2025-03-05,64.5,66.8,64.0,66.3,1171200
40,2025-03-06,66.3,68.8,66.3,67.0,981200
41,2025-03-07,66.5,68.4,66.3,68.4,651300
42,2025-03-10,68.4,69.1,67.0,67.2,419900
43,2025-03-11,67.1,70.0,66.0,70.0,889600
44,2025-03-12,70.0,70.1,68.8,68.9,297300
45,2025-03-13,62.1,69.0,62.1,66.3,629000
46,2025-03-14,66.3,67.1,65.2,65.2,398600
47,2025-03-17,64.6,66.6,64.0,66.6,498700
48,2025-03-18,66.6,66.6,65.6,65.8,260500
49,2025-03-19,65.4,67.3,65.4,66.1,236700
50,2025-03-20,66.7,68.2,65.7,68.0,555300
51,2025-03-21,68.0,68.8,67.2,67.3,143000
52,2025-03-24,67.3,67.3,65.5,66.3,359200
53,2025-03-25,66.5,67.7,66.0,67.1,274600
54,2025-03-26,67.2,68.5,66.9,67.6,559100
55,2025-03-27,67.6,68.3,66.8,67.5,319000
56,2025-03-28,67.5,69.9,67.2,67.8,873500
57,2025-03-31,67.8,67.8,66.0,66.0,577700
58,2025-04-01,65.9,66.9,65.8,66.9,418700
59,2025-04-02,64.5,68.0,64.5,67.5,306700
60,2025-04-03,67.6,67.6,60.8,60.8,1315700
61,2025-04-04,57.8,62.6,56.1,60.0,458000
62,2025-04-08,60.0,60.1,54.0,54.0,731000
63,2025-04-09,48.6,56.8,48.6,54.6,502500
64,2025-04-10,60.0,60.0,59.4,60.0,50000
65,2025-04-11,62.0,63.0,58.6,61.5,484800
66,2025-04-14,61.5,62.8,60.6,62.8,356800
67,2025-04-15,62.0,63.0,61.1,62.5,438000
68,2025-04-16,62.8,64.4,62.2,63.9,524800
69,2025-04-17,64.2,65.7,62.8,65.5,706300
70,2025-04-18,65.0,67.6,65.0,65.5,645100
71,2025-04-21,65.6,69.0,65.6,68.0,653900
72,2025-04-22,68.8,69.6,62.9,68.0,1025000
73,2025-04-23,68.3,71.5,68.0,70.8,871100
74,2025-04-24,71.0,73.5,70.5,72.7,938000
75,2025-04-25,73.1,73.1,70.8,71.2,330400
76,2025-04-28,71.0,72.0,69.8,72.0,373100
77,2025-04-29,72.0,74.4,72.0,72.6,680100
78,2025-05-05,74.4,74.4,72.1,73.9,220600
79,2025-05-06,74.0,74.0,72.6,73.7,238800
80,2025-05-07,73.7,74.8,72.5,72.8,493600
81,2025-05-08,72.8,73.0,70.7,70.8,869900
82,2025-05-09,70.8,71.6,70.7,71.4,286900
