,time,open,high,low,close,volume
0,2025-01-02,10.35,10.5,10.3,10.4,4546700
1,2025-01-03,10.4,10.8,10.4,10.55,11644700
2,2025-01-06,10.6,10.6,10.3,10.4,5014600
3,2025-01-07,10.45,10.45,10.2,10.25,6094600
4,2025-01-08,10.25,10.45,10.2,10.4,4147900
5,2025-01-09,10.35,10.45,10.25,10.25,1882200
6,2025-01-10,10.25,10.3,9.92,9.92,8716100
7,2025-01-13,9.93,9.99,9.4,9.49,11653300
8,2025-01-14,9.5,9.54,8.95,8.95,16250500
9,2025-01-15,9.2,9.43,9.19,9.2,7057800
10,2025-01-16,9.2,9.4,9.15,9.17,5765700
11,2025-01-17,9.21,9.33,9.15,9.28,4783400
12,2025-01-20,9.24,9.24,9.01,9.05,5565800
13,2025-01-21,9.12,9.14,9.04,9.04,3243400
14,2025-01-22,9.05,9.1,8.68,8.68,11436700
15,2025-01-23,8.69,8.85,8.68,8.73,6081600
16,2025-01-24,8.88,9.03,8.81,8.93,7005700
17,2025-02-03,8.93,9.01,8.88,8.9,4450100
18,2025-02-04,8.93,9.42,8.93,9.39,7416200
19,2025-02-05,9.44,9.58,9.4,9.4,7236700
20,2025-02-06,9.42,9.48,9.32,9.39,4160500
21,2025-02-07,9.44,9.64,9.4,9.45,5146300
22,2025-02-10,9.45,9.45,9.23,9.23,5626200
23,2025-02-11,9.24,9.37,9.15,9.2,3873300
24,2025-02-12,9.22,9.26,9.16,9.16,3500600
25,2025-02-13,9.16,9.18,9.01,9.02,7383400
26,2025-02-14,9.09,9.34,9.06,9.25,5904100
27,2025-02-17,9.26,9.33,9.18,9.21,4989700
28,2025-02-18,9.19,9.49,9.19,9.35,8825300
29,2025-02-19,9.47,9.47,9.35,9.45,7823500
30,2025-02-20,9.5,10.1,9.48,10.1,26431300
31,2025-02-21,10.4,10.4,10.05,10.15,13571900
32,2025-02-24,10.25,10.3,9.93,10.0,12177600
33,2025-02-25,10.1,10.15,9.88,9.95,10816200
34,2025-02-26,10.0,10.05,9.9,9.9,5900000
35,2025-02-27,10.0,10.2,9.98,10.1,10642200
36,2025-02-28,10.3,10.8,10.25,10.6,20444900
37,2025-03-03,10.5,10.75,10.35,10.4,12999200
38,2025-03-04,10.4,10.5,10.2,10.3,12149300
39,2025-03-05,10.3,10.45,10.2,10.2,7403900
40,2025-03-06,10.25,10.4,10.15,10.35,8678300
41,2025-03-07,10.4,10.75,10.4,10.5,11450400
42,2025-03-10,10.65,10.7,10.4,10.4,7065100
43,2025-03-11,10.3,10.65,10.2,10.55,11005800
44,2025-03-12,10.55,10.65,10.45,10.5,5583800
45,2025-03-13,10.5,10.8,10.4,10.4,11926900
46,2025-03-14,10.45,11.1,10.35,11.1,40147900
47,2025-03-17,11.3,11.3,11.05,11.15,13570200
48,2025-03-18,11.05,11.15,10.8,10.95,19036400
49,2025-03-19,10.8,10.9,10.7,10.8,11757100
50,2025-03-20,10.85,10.9,10.75,10.85,7517800
51,2025-03-21,10.95,11.0,10.75,10.75,7022700
52,2025-03-24,10.75,10.75,10.15,10.3,19704000
53,2025-03-25,10.4,10.45,10.3,10.35,6623000
54,2025-03-26,10.4,10.55,10.25,10.25,5559300
55,2025-03-27,10.3,10.35,10.2,10.25,3893100
56,2025-03-28,10.3,10.4,10.25,10.25,4151900
57,2025-03-31,10.25,10.4,10.2,10.3,5299200
58,2025-04-01,10.4,10.4,10.3,10.35,3942500
59,2025-04-02,10.35,10.5,10.25,10.3,7884700
60,2025-04-03,9.58,9.9,9.58,9.58,30541000
61,2025-04-04,8.91,9.42,8.91,9.1,21050600
62,2025-04-08,9.1,9.1,8.47,8.47,19623400
63,2025-04-09,7.88,8.49,7.88,8.1,14284400
64,2025-04-10,8.66,8.66,8.66,8.66,523000
65,2025-04-11,9.26,9.26,8.93,9.26,17090800
66,2025-04-14,9.35,9.35,9.15,9.23,7949800
67,2025-04-15,9.23,9.7,9.16,9.25,12006200
68,2025-04-16,9.25,9.63,9.25,9.37,7668200
69,2025-04-17,9.3,9.48,9.1,9.36,6282400
70,2025-04-18,9.5,9.87,9.44,9.67,11559100
71,2025-04-21,9.75,10.3,9.72,10.3,24346500
72,2025-04-22,10.4,10.95,9.96,10.65,40487900
73,2025-04-23,11.15,11.15,10.8,10.8,17720000
74,2025-04-24,10.85,11.55,10.75,11.3,31498700
75,2025-04-25,11.3,11.4,10.75,10.85,19032900
76,2025-04-28,11.05,11.6,10.9,11.45,27382400
77,2025-04-29,11.65,11.8,11.25,11.4,14851200
78,2025-05-05,11.5,11.6,11.25,11.45,10064500
79,2025-05-06,11.5,12.25,11.5,12.25,36987600
80,2025-05-07,12.3,13.05,12.15,12.65,41044900
81,2025-05-08,12.2,12.7,12.2,12.6,28159900
82,2025-05-09,12.9,12.9,12.05,12.3,24245000
