,time,open,high,low,close,volume
0,2025-01-02,20.7,20.9,20.55,20.7,2221300
1,2025-01-03,20.65,20.85,20.35,20.45,4006400
2,2025-01-06,20.45,20.5,19.5,19.6,9643700
3,2025-01-07,19.8,19.8,18.6,18.85,10392800
4,2025-01-08,18.75,19.35,18.65,19.3,4402600
5,2025-01-09,19.3,19.45,18.95,19.0,2805600
6,2025-01-10,19.0,19.15,18.05,18.05,5198500
7,2025-01-13,18.0,18.85,17.85,18.75,6190400
8,2025-01-14,18.75,18.8,18.35,18.4,1855200
9,2025-01-15,18.45,18.8,18.45,18.8,2944600
10,2025-01-16,18.85,19.1,18.5,18.6,3876600
11,2025-01-17,18.75,18.95,18.6,18.85,2508500
12,2025-01-20,18.95,18.95,18.6,18.8,2510200
13,2025-01-21,18.75,18.8,18.4,18.4,4098100
14,2025-01-22,18.45,18.6,18.1,18.35,2947300
15,2025-01-23,18.4,18.8,18.25,18.6,3855100
16,2025-01-24,18.75,19.2,18.75,19.1,7554100
17,2025-02-03,19.0,19.2,18.7,18.7,3130200
18,2025-02-04,18.9,19.15,18.6,19.05,5295400
19,2025-02-05,19.25,20.1,19.2,19.75,11732700
20,2025-02-06,19.6,19.9,19.45,19.8,5441600
21,2025-02-07,19.8,19.8,19.45,19.45,4084900
22,2025-02-10,19.25,19.25,18.8,18.8,7141600
23,2025-02-11,18.95,18.95,18.7,18.9,3534600
24,2025-02-12,18.95,19.1,18.75,18.75,2564300
25,2025-02-13,18.8,18.95,18.6,18.95,2751000
26,2025-02-14,19.0,19.2,18.95,19.1,4471600
27,2025-02-17,19.25,19.4,19.1,19.1,5522600
28,2025-02-18,19.1,19.6,19.1,19.2,4763400
29,2025-02-19,19.3,19.7,19.2,19.55,7628400
30,2025-02-20,19.55,20.0,19.4,19.4,8571300
31,2025-02-21,19.35,19.4,19.1,19.15,6167900
32,2025-02-24,19.25,19.35,19.0,19.35,5894900
33,2025-02-25,19.55,19.85,19.35,19.45,5620300
34,2025-02-26,19.45,19.55,19.15,19.2,5933900
35,2025-02-27,19.2,19.9,19.15,19.8,10162300
36,2025-02-28,19.85,20.3,19.65,19.9,12338700
37,2025-03-03,20.0,20.3,19.9,20.1,7932800
38,2025-03-04,20.1,20.5,19.85,20.1,11989400
39,2025-03-05,20.2,20.2,19.55,19.55,7881300
40,2025-03-06,19.6,20.0,19.55,20.0,6933900
41,2025-03-07,20.15,20.8,20.1,20.3,13634200
42,2025-03-10,20.4,20.7,20.2,20.4,8639100
43,2025-03-11,20.1,20.6,19.95,20.6,8567400
44,2025-03-12,20.45,20.55,20.05,20.5,11558400
45,2025-03-13,20.45,20.6,19.8,19.8,9161500
46,2025-03-14,19.9,20.5,19.65,20.2,10643800
47,2025-03-17,20.45,21.0,20.15,20.8,14463700
48,2025-03-18,20.9,20.95,20.4,20.5,7501000
49,2025-03-19,20.5,20.55,20.3,20.55,8006200
50,2025-03-20,20.6,20.6,20.05,20.2,5772000
51,2025-03-21,20.15,20.45,20.15,20.3,4484200
52,2025-03-24,19.75,20.1,19.05,20.0,25338500
53,2025-03-25,20.0,20.15,19.7,20.1,6136600
54,2025-03-26,19.95,20.15,19.55,19.8,8073300
55,2025-03-27,19.7,19.75,19.4,19.6,4411100
56,2025-03-28,19.7,19.7,19.25,19.3,4682200
57,2025-03-31,19.1,19.65,19.1,19.35,5629700
58,2025-04-01,19.4,19.6,19.25,19.45,2509500
59,2025-04-02,19.6,19.65,19.35,19.5,3292500
60,2025-04-03,18.5,18.95,18.15,18.15,7863900
61,2025-04-04,16.9,17.35,16.9,17.35,14499300
62,2025-04-08,16.15,16.7,16.15,16.15,2243300
63,2025-04-09,15.05,15.4,15.05,15.05,7900300
64,2025-04-10,16.1,16.1,16.1,16.1,4392400
65,2025-04-11,15.2,17.0,15.05,17.0,20955700
66,2025-04-14,16.95,17.15,16.45,17.15,8030000
67,2025-04-15,16.7,17.05,16.2,16.5,9224300
68,2025-04-16,16.45,16.55,16.1,16.5,7216200
69,2025-04-17,16.1,16.55,15.95,16.55,8560900
70,2025-04-18,16.55,16.8,16.25,16.4,6096900
71,2025-04-21,16.3,16.5,16.05,16.4,6084000
72,2025-04-22,16.0,16.2,15.3,15.3,12618400
73,2025-04-23,15.75,15.9,15.05,15.6,10472100
74,2025-04-24,15.65,15.9,15.4,15.9,7477100
75,2025-04-25,15.9,16.0,15.55,15.7,4434400
76,2025-04-28,15.6,15.7,15.35,15.7,5299100
77,2025-04-29,15.55,15.65,15.3,15.4,5953900
78,2025-05-05,15.5,15.75,15.25,15.65,5108200
79,2025-05-06,15.8,16.35,15.75,16.15,12053100
80,2025-05-07,16.15,16.8,16.05,16.6,12210900
81,2025-05-08,16.7,16.7,16.3,16.6,6138000
82,2025-05-09,16.75,17.15,16.5,16.65,8935900
