,time,open,high,low,close,volume
0,2025-01-02,24.65,24.7,24.3,24.35,7834500
1,2025-01-03,24.35,24.35,23.6,23.6,17426900
2,2025-01-06,23.6,23.85,23.5,23.6,8132700
3,2025-01-07,23.9,23.9,23.55,23.65,7615500
4,2025-01-08,23.8,24.3,23.65,23.95,11947100
5,2025-01-09,24.05,24.05,23.75,23.95,4709000
6,2025-01-10,24.0,24.0,23.4,23.4,6232100
7,2025-01-13,23.2,23.8,23.15,23.8,7939900
8,2025-01-14,23.55,23.75,23.5,23.6,4180100
9,2025-01-15,23.8,23.9,23.65,23.7,6720200
10,2025-01-16,23.85,23.95,23.6,23.85,8074100
11,2025-01-17,23.85,24.4,23.75,24.4,10016400
12,2025-01-20,24.4,24.5,24.25,24.4,5183100
13,2025-01-21,24.4,24.5,24.15,24.2,8127000
14,2025-01-22,24.45,24.45,24.15,24.2,7455200
15,2025-01-23,24.35,24.85,24.25,24.6,21069200
16,2025-01-24,24.8,24.85,24.65,24.75,10331500
17,2025-02-03,24.5,24.7,24.25,24.25,10885100
18,2025-02-04,24.35,24.7,24.3,24.65,12471500
19,2025-02-05,24.85,24.9,24.55,24.7,9430900
20,2025-02-06,24.9,25.5,24.8,25.2,37579600
21,2025-02-07,25.45,25.8,25.2,25.75,26585000
22,2025-02-10,25.75,26.25,25.45,25.75,22152900
23,2025-02-11,26.1,26.15,25.75,25.9,15667000
24,2025-02-12,26.0,26.0,25.7,25.7,11524500
25,2025-02-13,25.6,26.0,25.55,25.95,11953600
26,2025-02-14,26.1,26.2,25.9,26.0,10239600
27,2025-02-17,26.0,26.1,25.7,25.7,10972700
28,2025-02-18,25.7,26.1,25.65,25.85,10757000
29,2025-02-19,25.95,26.15,25.8,26.1,12938100
30,2025-02-20,26.2,26.6,26.05,26.55,21179500
31,2025-02-21,26.6,26.6,26.4,26.5,8800600
32,2025-02-24,26.4,26.65,26.3,26.5,11762200
33,2025-02-25,26.6,26.8,26.35,26.4,14496400
34,2025-02-26,26.4,26.55,26.3,26.3,9946900
35,2025-02-27,26.4,26.4,26.0,26.25,12505900
36,2025-02-28,26.25,26.3,26.05,26.1,12220900
37,2025-03-03,26.15,26.3,26.05,26.1,9359400
38,2025-03-04,26.1,27.55,26.0,27.5,40196300
39,2025-03-05,27.5,27.6,27.3,27.3,13269400
40,2025-03-06,27.45,27.7,27.35,27.7,12570100
41,2025-03-07,27.7,27.9,27.45,27.75,14922200
42,2025-03-10,27.75,28.3,27.7,27.8,13907700
43,2025-03-11,27.5,28.0,27.45,28.0,15313400
44,2025-03-12,28.1,28.25,27.8,27.85,10861400
45,2025-03-13,27.8,27.8,27.25,27.3,18991700
46,2025-03-14,27.1,27.4,27.1,27.3,10662000
47,2025-03-17,27.35,27.45,27.15,27.45,11002100
48,2025-03-18,27.5,27.6,27.3,27.4,7945400
49,2025-03-19,27.3,27.35,27.15,27.25,12083700
50,2025-03-20,27.5,27.55,27.1,27.45,14430700
51,2025-03-21,27.35,27.55,27.3,27.35,7447300
52,2025-03-24,27.35,28.2,27.2,28.0,21083700
53,2025-03-25,28.1,28.2,27.85,27.9,8130100
54,2025-03-26,27.9,28.5,27.8,28.0,24089300
55,2025-03-27,28.0,28.15,27.75,27.75,7518900
56,2025-03-28,27.75,27.8,27.45,27.55,12353600
57,2025-03-31,27.4,27.5,27.2,27.5,12983300
58,2025-04-01,27.5,28.0,27.4,27.95,9054500
59,2025-04-02,28.0,28.15,27.85,27.9,6668600
60,2025-04-03,26.95,27.2,25.95,25.95,58893200
61,2025-04-04,24.15,25.75,24.15,25.7,56795800
62,2025-04-08,25.0,25.0,23.95,23.95,33465800
63,2025-04-09,22.3,24.9,22.3,23.6,40792200
64,2025-04-10,25.25,25.25,25.25,25.25,1241800
65,2025-04-11,26.5,26.6,25.6,26.6,47940500
66,2025-04-14,26.6,26.7,26.1,26.55,19905300
67,2025-04-15,26.05,26.35,25.8,26.0,21183400
68,2025-04-16,26.15,26.45,25.75,25.8,18147100
69,2025-04-17,25.6,26.0,25.55,26.0,14259300
70,2025-04-18,26.5,26.5,26.0,26.0,16887000
71,2025-04-21,26.0,26.3,25.6,25.75,12192200
72,2025-04-22,25.25,25.65,23.95,25.15,29523500
73,2025-04-23,25.75,26.3,25.15,26.1,18232600
74,2025-04-24,26.0,26.1,25.7,25.75,8915900
75,2025-04-25,25.95,26.05,25.4,25.95,19491800
76,2025-04-28,26.0,26.1,25.8,26.0,11163200
77,2025-04-29,26.0,26.6,26.0,26.3,18134300
78,2025-05-05,26.65,26.65,26.15,26.5,9048300
79,2025-05-06,26.5,27.2,26.4,26.85,24407100
80,2025-05-07,26.85,27.1,26.6,27.0,13694100
81,2025-05-08,27.0,27.45,26.85,27.4,18382100
82,2025-05-09,27.3,28.0,27.25,27.6,18296500
