,time,open,high,low,close,volume
0,2025-01-02,15.15,15.25,15.1,15.15,1711700
1,2025-01-03,15.15,15.15,14.8,14.8,3213900
2,2025-01-06,14.8,14.9,14.1,14.3,3997200
3,2025-01-07,14.4,14.4,14.0,14.1,3499000
4,2025-01-08,14.1,14.45,13.9,14.35,2714100
5,2025-01-09,14.4,14.45,14.1,14.1,1483400
6,2025-01-10,14.15,14.2,13.5,13.5,2955200
7,2025-01-13,13.3,13.9,13.3,13.9,3589600
8,2025-01-14,13.85,13.9,13.65,13.65,1265500
9,2025-01-15,13.75,13.95,13.75,13.9,1635800
10,2025-01-16,13.9,14.2,13.75,13.8,1819600
11,2025-01-17,13.85,14.25,13.75,14.2,3288200
12,2025-01-20,14.2,14.3,14.0,14.0,1089800
13,2025-01-21,14.1,14.25,13.95,14.1,2061100
14,2025-01-22,14.15,14.2,14.0,14.0,2343200
15,2025-01-23,14.2,14.5,14.1,14.4,3350600
16,2025-01-24,14.45,15.25,14.4,15.2,5564600
17,2025-02-03,15.1,15.2,14.85,15.2,2801400
18,2025-02-04,15.15,15.55,15.1,15.5,4848200
19,2025-02-05,15.5,15.85,15.5,15.65,5461800
20,2025-02-06,15.7,15.7,15.3,15.45,3249300
21,2025-02-07,15.5,15.55,15.25,15.3,3012100
22,2025-02-10,15.2,15.25,15.05,15.1,4048300
23,2025-02-11,15.15,15.5,15.1,15.35,4274000
24,2025-02-12,15.35,15.45,15.2,15.2,1597800
25,2025-02-13,15.15,15.4,15.15,15.4,2558300
26,2025-02-14,15.55,15.75,15.45,15.45,4346500
27,2025-02-17,15.5,15.65,15.35,15.45,2925100
28,2025-02-18,15.4,15.9,15.4,15.75,6339500
29,2025-02-19,15.9,16.85,15.75,16.85,20702600
30,2025-02-20,17.05,17.1,16.8,16.9,6004800
31,2025-02-21,16.9,17.2,16.65,17.0,6361800
32,2025-02-24,17.0,17.0,16.55,17.0,5779800
33,2025-02-25,17.1,17.35,16.85,17.1,6293400
34,2025-02-26,17.15,17.15,16.8,17.05,4817600
35,2025-02-27,17.05,17.65,17.0,17.65,14436600
36,2025-02-28,17.7,17.75,17.3,17.5,7723800
37,2025-03-03,17.5,17.8,17.35,17.8,6793900
38,2025-03-04,17.65,17.8,17.15,17.55,6080700
39,2025-03-05,17.5,17.65,17.1,17.1,5938300
40,2025-03-06,17.15,17.4,17.05,17.3,5705200
41,2025-03-07,17.4,18.15,17.35,17.75,11902100
42,2025-03-10,17.95,18.1,17.7,17.85,5531500
43,2025-03-11,17.4,17.9,17.4,17.9,6637600
44,2025-03-12,17.9,17.9,17.5,17.55,5762800
45,2025-03-13,17.5,17.7,17.15,17.25,5493200
46,2025-03-14,17.15,17.7,17.05,17.3,5253800
47,2025-03-17,17.5,18.0,17.45,18.0,9573200
48,2025-03-18,18.1,18.1,17.6,17.65,4819200
49,2025-03-19,17.65,17.75,17.3,17.4,6449400
50,2025-03-20,17.45,17.55,17.1,17.3,3845200
51,2025-03-21,17.45,17.9,17.3,17.35,5167500
52,2025-03-24,17.4,17.9,17.4,17.65,7223400
53,2025-03-25,17.75,18.15,17.55,17.8,5974400
54,2025-03-26,17.8,18.5,17.8,18.2,8334400
55,2025-03-27,18.2,19.25,17.9,18.8,14801600
56,2025-03-28,18.85,19.5,18.65,18.7,12613600
57,2025-03-31,18.6,18.95,17.85,18.0,12817600
58,2025-04-01,18.2,18.2,17.9,18.15,5917200
59,2025-04-02,18.3,18.8,18.2,18.3,7120300
60,2025-04-03,17.1,17.65,17.05,17.05,13932300
61,2025-04-04,15.9,16.6,15.9,16.55,18382600
62,2025-04-08,16.0,16.2,15.4,15.4,5658000
63,2025-04-09,14.35,15.1,14.35,14.35,18873000
64,2025-04-10,15.35,15.35,15.35,15.35,367900
65,2025-04-11,15.95,16.35,15.1,16.3,16954100
66,2025-04-14,16.35,17.25,16.05,17.0,8694200
67,2025-04-15,16.8,16.95,16.1,16.4,9167800
68,2025-04-16,16.15,16.75,16.15,16.45,6055900
69,2025-04-17,16.3,17.2,16.2,16.7,6678900
70,2025-04-18,17.0,17.3,16.7,16.7,8918300
71,2025-04-21,16.8,17.15,16.65,16.95,6889900
72,2025-04-22,16.75,17.4,15.8,16.75,17360500
73,2025-04-23,17.25,17.75,16.95,17.45,9105600
74,2025-04-24,17.4,17.8,17.1,17.7,8514700
75,2025-04-25,17.5,17.7,17.3,17.65,5433900
76,2025-04-28,17.7,17.7,16.85,17.05,8426800
77,2025-04-29,17.15,17.4,16.9,17.2,5720200
78,2025-05-05,17.25,17.25,16.9,17.05,7166900
79,2025-05-06,17.1,17.65,17.1,17.2,8585800
80,2025-05-07,17.2,17.8,17.1,17.55,10808000
81,2025-05-08,17.7,18.4,17.6,18.15,11844900
82,2025-05-09,18.35,18.35,17.5,17.65,15628700
