,time,open,high,low,close,volume
0,2024-05-02,17.95,18.51,17.95,18.35,5871483
1,2024-05-03,18.43,18.43,17.95,18.15,2617708
2,2024-05-06,18.31,18.43,18.11,18.27,4078582
3,2024-05-07,18.35,18.55,18.15,18.27,3905006
4,2024-05-08,18.27,18.31,17.91,18.23,4367210
5,2024-05-09,18.27,18.63,18.03,18.19,4562644
6,2024-05-10,18.27,18.27,17.87,17.87,4236520
7,2024-05-13,17.87,17.95,17.71,17.75,3232097
8,2024-05-14,17.87,18.07,17.75,17.75,2259605
9,2024-05-15,17.95,18.11,17.75,17.91,3959568
10,2024-05-16,18.11,18.31,17.95,17.95,5334314
11,2024-05-17,18.07,18.23,18.03,18.15,3573430
12,2024-05-20,18.39,18.67,18.23,18.55,8774612
13,2024-05-21,18.55,18.59,18.19,18.43,4652729
14,2024-05-22,18.35,18.59,18.07,18.15,5918775
15,2024-05-23,18.15,18.51,18.15,18.47,5651992
16,2024-05-24,18.35,18.43,17.71,18.03,7653472
17,2024-05-27,18.11,18.15,17.75,17.99,2730167
18,2024-05-28,17.99,18.23,17.99,18.23,3399114
19,2024-05-29,18.23,18.71,18.03,18.39,8671902
20,2024-05-30,18.23,18.99,18.15,18.67,9077439
21,2024-05-31,18.75,18.87,18.35,18.35,4058581
22,2024-06-03,18.63,18.83,18.43,18.55,6515781
23,2024-06-04,18.59,18.87,18.55,18.63,5862568
24,2024-06-05,18.63,18.75,18.39,18.39,5467162
25,2024-06-06,18.51,18.83,18.39,18.47,6721429
26,2024-06-07,18.63,18.71,18.47,18.47,3785636
27,2024-06-10,18.75,18.75,18.39,18.43,5204127
28,2024-06-11,18.51,18.51,18.07,18.15,7215532
29,2024-06-12,18.15,18.43,18.07,18.35,4506763
30,2024-06-13,18.51,18.59,18.35,18.39,7751204
31,2024-06-14,18.72,18.99,18.41,18.41,8165745
32,2024-06-17,18.45,18.5,17.92,17.96,4904860
33,2024-06-18,18.18,18.18,17.87,17.87,3817579
34,2024-06-19,17.92,18.01,17.51,17.51,4742716
35,2024-06-20,17.69,17.69,17.25,17.38,3503459
36,2024-06-21,17.29,17.38,17.07,17.11,3381055
37,2024-06-24,17.07,17.42,16.98,16.98,4163167
38,2024-06-25,17.16,17.2,16.98,17.02,2599968
39,2024-06-26,17.07,17.29,16.89,16.98,2224049
40,2024-06-27,16.98,17.16,16.71,16.8,2575860
41,2024-06-28,16.89,16.93,16.22,16.31,3651546
