,time,open,high,low,close,volume
0,2025-01-02,61.42,61.62,60.94,60.94,1339894
1,2025-01-03,61.04,61.14,60.75,60.85,1779619
2,2025-01-06,60.85,61.04,60.36,60.36,2108984
3,2025-01-07,60.46,60.85,59.49,59.59,2811099
4,2025-01-08,59.88,59.98,59.11,59.59,2057556
5,2025-01-09,59.69,59.78,59.2,59.69,1504291
6,2025-01-10,59.59,59.78,59.2,59.2,1192540
7,2025-01-13,59.11,59.78,59.01,59.3,1104262
8,2025-01-14,59.3,59.69,59.2,59.49,1149837
9,2025-01-15,59.98,60.17,59.59,59.59,1219841
10,2025-01-16,60.17,60.46,59.59,59.78,1687939
11,2025-01-17,60.07,60.07,59.88,59.88,890720
12,2025-01-20,59.88,60.07,59.49,59.78,1638012
13,2025-01-21,59.88,59.98,59.49,59.69,1405722
14,2025-01-22,59.88,59.88,59.49,59.49,1762572
15,2025-01-23,59.49,60.17,59.49,59.88,1783676
16,2025-01-24,59.78,60.36,59.69,60.07,1578694
17,2025-02-03,60.07,60.07,58.43,58.43,7286722
18,2025-02-04,58.53,58.82,57.95,58.14,7132840
19,2025-02-05,58.33,59.4,58.33,59.4,3204519
20,2025-02-06,59.4,59.49,58.43,58.62,3033470
21,2025-02-07,58.62,59.11,58.53,58.72,2555237
22,2025-02-10,59.11,59.11,58.53,58.53,2597063
23,2025-02-11,58.53,58.62,58.04,58.33,3438061
24,2025-02-12,58.53,58.91,58.43,58.91,2759083
25,2025-02-13,58.91,58.91,58.33,58.62,2579334
26,2025-02-14,58.62,58.62,58.24,58.24,6406440
27,2025-02-17,58.33,58.53,57.95,57.95,3616591
28,2025-02-18,58.33,58.43,57.95,58.24,2442358
29,2025-02-19,58.24,58.82,58.24,58.72,3075728
30,2025-02-20,58.82,58.82,58.53,58.62,2632849
31,2025-02-21,58.72,59.98,58.53,59.3,4723060
32,2025-02-24,59.49,61.71,59.49,61.62,11520294
33,2025-02-25,61.81,61.81,60.46,60.75,3891802
34,2025-02-26,60.85,61.23,60.75,60.94,3639672
35,2025-02-27,61.04,61.04,60.07,60.07,3525626
36,2025-02-28,60.17,61.04,60.07,60.07,4180628
37,2025-03-03,60.65,61.04,60.17,61.04,3614305
38,2025-03-04,61.04,61.62,60.75,61.33,6046776
39,2025-03-05,61.42,61.42,60.56,60.56,2281264
40,2025-03-06,60.56,60.75,60.07,60.75,3129517
41,2025-03-07,60.75,60.85,60.27,60.56,2659929
42,2025-03-10,60.85,60.85,60.36,60.36,2533190
43,2025-03-11,60.17,60.36,59.98,60.27,2290854
44,2025-03-12,60.36,60.65,60.07,60.07,2761535
45,2025-03-13,60.17,60.75,59.78,59.88,5106563
46,2025-03-14,60.27,60.56,59.98,59.98,2700423
47,2025-03-17,60.27,61.23,60.27,60.85,4066437
48,2025-03-18,60.94,60.94,60.36,60.36,3285983
49,2025-03-19,60.56,60.65,59.78,60.17,3042976
50,2025-03-20,60.07,60.07,59.2,59.69,3895453
51,2025-03-21,59.69,59.69,59.11,59.2,3331858
52,2025-03-24,59.3,59.88,59.01,59.3,2493893
53,2025-03-25,59.59,59.59,59.11,59.3,2327043
54,2025-03-26,59.4,59.78,59.11,59.11,1849811
55,2025-03-27,59.11,59.4,59.01,59.01,2233560
56,2025-03-28,58.91,59.01,58.14,58.24,5443940
57,2025-03-31,58.72,59.49,58.53,58.53,5308209
58,2025-04-01,59.11,59.11,58.24,58.72,3137933
59,2025-04-02,58.62,59.3,58.43,58.43,4687947
60,2025-04-03,57.47,57.56,54.37,54.57,16961756
61,2025-04-04,52.15,56.79,51.96,56.5,9790843
62,2025-04-08,54.76,54.95,52.64,52.64,13341671
63,2025-04-09,49.64,53.31,49.64,50.22,9895364
64,2025-04-10,53.7,53.7,53.7,53.7,1515755
65,2025-04-11,53.7,56.4,53.7,55.53,9178387
66,2025-04-14,55.92,55.92,54.57,54.95,5487359
67,2025-04-15,54.76,55.53,54.37,54.37,4173838
68,2025-04-16,54.47,55.24,54.08,54.08,3741175
69,2025-04-17,53.6,54.66,52.93,54.08,7226501
70,2025-04-18,54.76,55.34,54.66,54.66,3042348
71,2025-04-21,54.86,55.15,54.57,54.76,3024998
72,2025-04-22,54.66,54.66,52.06,54.08,6966814
73,2025-04-23,54.86,55.34,54.47,54.47,3589382
74,2025-04-24,54.57,54.86,54.28,54.37,1959766
75,2025-04-25,54.57,56.31,54.57,56.31,8125834
76,2025-04-28,56.31,56.31,55.53,55.53,2670118
77,2025-04-29,55.53,55.92,55.24,55.63,2560129
78,2025-05-05,55.53,55.63,54.95,54.95,4242785
79,2025-05-06,55.05,55.44,54.95,54.95,2505912
80,2025-05-07,54.95,55.73,54.95,55.24,2910910
81,2025-05-08,55.24,55.82,55.24,55.44,3266128
82,2025-05-09,55.73,56.6,55.73,55.73,3839463
